year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price_in_cr,sold_price
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,310958,Abhimanyu Mithun,Abhimanyu Mithun,,BOW,30,44000,Retained,FALSE,FALSE,0.3,3000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,31820,Ashish Nehra,Ashish Nehra,,BOW,550,820000,Retained,FALSE,FALSE,5.5,55000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,32102,Naman Ojha,Naman Ojha,,WK,50,74000,Retained,FALSE,FALSE,0.5,5000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,326016,Bhuvneshwar Kumar,Bhuvneshwar Kumar,,BOW,425,634000,Retained,FALSE,FALSE,4.25,42500000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,326017,Siddarth Kaul,Siddarth Kaul,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,330902,Mustafizur Rahman,Mustafizur Rahman,,BOW,140,208000,Retained,FALSE,TRUE,1.4,14000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,35928,Bipul Sharma,Bipul Sharma,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,36084,Yuvraj Singh,Yuvraj Singh,,AR,700,1044000,Retained,FALSE,FALSE,7,70000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,477021,Vijay Shankar,Vijay Shankar,,AR,35,52000,Retained,FALSE,FALSE,0.35,3500000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,497121,Deepak Hooda,Deepak Hooda,,BAT,420,626000,Retained,FALSE,FALSE,4.2,42000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,537126,Barinder Sran,Barinder Sran,,BOW,120,179000,Retained,FALSE,FALSE,1.2,12000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,5961,Moises Henriques,Moises Henriques,,AR,100,149000,Retained,FALSE,TRUE,1,10000000
2017,Sunrisers Hyderabad,53.75 cr,12.25 cr,642531,Ricky Bhui,Ricky Bhui,,BAT,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,1064812,Rahul Chahar,Rahul Chahar,,BOW,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,311158,Ben Stokes,Ben Stokes,,AR,1450,2164000,New,FALSE,TRUE,14.5,145000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,35565,Manoj Tiwary,Manoj Tiwary,,BAT,50,74000,New,FALSE,FALSE,0.5,5000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,390484,Jaydev Unadkat,Jaydev Unadkat,,BOW,30,44000,New,FALSE,FALSE,0.3,3000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,446763,Rahul Tripathi,Rahul Tripathi,,AR,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,4864,Dan Christian,Dan Christian,,AR,100,149000,New,FALSE,TRUE,1,10000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,493773,Lockie Ferguson,Lockie Ferguson,,BOW,50,74000,New,FALSE,TRUE,0.5,5000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,627214,Saurabh Kumar,Saurabh Kumar,,BOW,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Rising Pune Supergiants,65.7 cr,0.3 cr,969381,Milind Tandon,Milind Tandon,,AR,10,14000,New,FALSE,FALSE,0.1,1000000
