year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,country,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price,sold_price_in_cr
2014,Chennai Super Kings,598000000,2000000,530773,P Negi,P Negi,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Chennai Super Kings,598000000,2000000,26421,R Ashwin,R Ashwin,,IND,BOW,,,New,FALSE,FALSE,,
2014,Chennai Super Kings,598000000,2000000,33335,SK Raina,SK Raina,,IND,BAT,,,New,FALSE,FALSE,,
2014,Chennai Super Kings,598000000,2000000,51439,DJ Bravo,DJ Bravo,,WI,BAT,,,New,FALSE,TRUE,,
2014,Chennai Super Kings,598000000,2000000,234675,RA Jadeja,RA Jadeja,,IND,AR,,,New,FALSE,FALSE,,
2014,Chennai Super Kings,598000000,2000000,28081,MS Dhoni,MS Dhoni,,IND,BAT/WK,,,New,FALSE,FALSE,,
2014,Delhi Daredevils,600000000,0,30045,KD Karthik,KD Karthik,,IND,BAT/WK,1250,2083000,New,FALSE,FALSE,125000000,12.5
2014,Delhi Daredevils,600000000,0,19296,KP Pietersen,KP Pietersen,,ENG,BAT,900,1500000,RTM,FALSE,TRUE,90000000,9
2014,Delhi Daredevils,600000000,0,237095,M Vijay,M Vijay,,IND,BAT,500,833000,New,FALSE,FALSE,50000000,5
2014,Delhi Daredevils,600000000,0,261354,NM Coulter-Nile,NM Coulter-Nile,,AUS,BOW,425,708000,New,FALSE,TRUE,42500000,4.25
2014,Delhi Daredevils,600000000,0,481896,Mohammed Shami,Mohammed Shami,,IND,BOW,425,708000,New,FALSE,FALSE,42500000,4.25
2014,Delhi Daredevils,600000000,0,379143,Q de Kock,Q de Kock,,SA,BAT/WK,350,583000,New,FALSE,TRUE,35000000,3.5
2014,Delhi Daredevils,600000000,0,35565,MK Tiwary,MK Tiwary,,IND,BAT,280,466000,New,FALSE,FALSE,28000000,2.8
2014,Delhi Daredevils,600000000,0,390484,JD Unadkat,JD Unadkat,,IND,BOW,280,466000,New,FALSE,FALSE,28000000,2.8
2014,Delhi Daredevils,600000000,0,44932,JP Duminy,JP Duminy,,SA,BAT,220,366000,New,FALSE,TRUE,22000000,2.2
2014,Delhi Daredevils,600000000,0,38699,LRPL Taylor,LRPL Taylor,,NZ,BAT,200,333000,New,FALSE,TRUE,20000000,2
2014,Delhi Daredevils,600000000,0,290716,KM Jadhav,KM Jadhav,,IND,BAT,200,333000,RTM,FALSE,FALSE,20000000,2
2014,Delhi Daredevils,600000000,0,272994,R Sharma,R Sharma,,IND,BOW,190,316000,New,FALSE,FALSE,19000000,1.9
2014,Delhi Daredevils,600000000,0,398438,MA Agarwal,MA Agarwal,,IND,BAT,160,266000,New,FALSE,FALSE,16000000,1.6
2014,Delhi Daredevils,600000000,0,34019,LR Shukla,LR Shukla,,IND,AR,150,250000,New,FALSE,FALSE,15000000,1.5
2014,Delhi Daredevils,600000000,0,265564,WD Parnell,WD Parnell,,SA,BOW,100,166000,New,FALSE,TRUE,10000000,1
2014,Delhi Daredevils,600000000,0,355269,JDS Neesham,JDS Neesham,,NZ,AR,100,166000,New,FALSE,TRUE,10000000,1
2014,Delhi Daredevils,600000000,0,31872,S Nadeem,S Nadeem,,IND,BOW,85,141000,RTM,FALSE,FALSE,8500000,0.85
