year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Chennai Super Kings,82.45 cr,2.55 cr,1252050,K Bhagath Varma,K Bhagath Varma,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,234675,Ravindra Jadeja,Ravindra Jadeja,,AR,700,958000,,958000000,Retained,FALSE,FALSE,7,70000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,28081,MS Dhoni,MS Dhoni,,BAT/WK,1500,2054000,,2054000000,Retained,FALSE,FALSE,15,150000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,288284,Josh Hazlewood,Josh Hazlewood,,BOW,200,273000,,273000000,Retained,FALSE,TRUE,2,20000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,30288,Karn Sharma,Karn Sharma,,BOW,500,684000,,684000000,Retained,FALSE,FALSE,5,50000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,32540,Cheteshwar Pujara,Cheteshwar Pujara,,BAT,50,68000,,68000000,New,FALSE,FALSE,0.5,5000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,33141,Ambati Rayudu,Ambati Rayudu,,BAT/WK,220,301000,,301000000,Retained,FALSE,FALSE,2.2,22000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,33335,Suresh Raina,Suresh Raina,,BAT,1100,1506000,,1506000000,Retained,FALSE,FALSE,11,110000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,35582,Robin Uthappa,Robin Uthappa,,BAT,300,410000,,410000000,Retained,TRUE,FALSE,3,30000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,40618,Imran Tahir,Imran Tahir,,BOW,100,136000,,136000000,Retained,FALSE,TRUE,1,10000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,424377,K Gowtham,K Gowtham,,AR,925,1267000,,1267000000,New,FALSE,FALSE,9.25,92500000
2021,Chennai Super Kings,82.45 cr,2.55 cr,447261,Deepak Chahar,Deepak Chahar,,AR,80,109000,,109000000,Retained,FALSE,FALSE,0.8,8000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,44828,Faf du Plessis,Faf du Plessis,,BAT,160,219000,,219000000,Retained,FALSE,TRUE,1.6,16000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,475281,Shardul Thakur,Shardul Thakur,,BOW,260,356000,,356000000,Retained,FALSE,FALSE,2.6,26000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,502714,Mitchell Santner,Mitchell Santner,,AR,50,68000,,68000000,Retained,FALSE,TRUE,0.5,5000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,51439,Dwayne Bravo,Dwayne Bravo,,AR,640,876000,,876000000,Retained,FALSE,TRUE,6.4,64000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,542023,Lungi Ngidi,Lungi Ngidi,,BOW,50,68000,,68000000,Retained,FALSE,TRUE,0.5,5000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,662973,Sam Curran,Sam Curran,,AR,550,753000,,753000000,Retained,FALSE,TRUE,5.5,55000000
2021,Chennai Super Kings,82.45 cr,2.55 cr,8917,Moeen Ali,Moeen Ali,,AR,700,958000,,958000000,New,FALSE,TRUE,7,70000000
2021,Delhi Capitals,82.85 cr,2.15 cr,1070168,Prithvi Shaw,Prithvi Shaw,,BAT,120,164000,,164000000,Retained,FALSE,FALSE,1.2,12000000
2021,Delhi Capitals,82.85 cr,2.15 cr,1151286,Manimaran Siddharth,Manimaran Siddharth,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
