year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,base_price_in_cr,base_price,auction_result,id_source
2011,32130,Pragyan Ojha,Deccan Chargers,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,223642,Rusty Theron,Deccan Chargers,3856450.0,0.385645,,,,,,,,,,sold,from auction file
2011,28235,Shikhar Dhawan,Deccan Chargers,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,5334,Aaron Finch,Delhi Daredevils,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,26184,Ajit Agarkar,Delhi Daredevils,9527700.0,0.95277,,,,,,,,,,sold,from auction file
2011,6553,Andrew McDonald,Delhi Daredevils,3629600.0,0.36296,,,,,,,,,,sold,from auction file
2011,227712,Ashok Dinda,Delhi Daredevils,17013750.0,1.701375,,,,,,,,,,sold,from auction file
2011,45705,Colin Ingram,Delhi Daredevils,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,219889,David Warner,Delhi Daredevils,34027500.0,3.40275,,,,,,,,,,sold,from auction file
2011,32685,Irfan Pathan,Delhi Daredevils,86203000.0,8.6203,,,,,,,,,,sold,from auction file
2011,5702,James Hopes,Delhi Daredevils,15879500.0,1.58795,,,,,,,,,,sold,from auction file
2011,230193,Matthew Wade,Delhi Daredevils,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,46538,Morne Morkel,Delhi Daredevils,21550750.0,2.155075,,,,,,,,,,sold,from auction file
2011,32102,Naman Ojha,Delhi Daredevils,12249900.0,1.22499,,,,,,,,,,sold,from auction file
2011,45204,Robert Frylinck,Delhi Daredevils,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,47850,Roelof van der Merwe,Delhi Daredevils,2268500.0,0.22685,,,,,,,,,,sold,from auction file
2011,4292,Travis Birt,Delhi Daredevils,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,376116,Umesh Yadav,Delhi Daredevils,34027500.0,3.40275,,,,,,,,,,sold,from auction file
2011,35805,Venugopal Rao,Delhi Daredevils,31759000.0,3.1759,,,,,,,,,,sold,from auction file
2011,35263,Virender Sehwag,Delhi Daredevils,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,32091,Abhishek Nayar,Kings XI Punjab,36296000.0,3.6296,,,,,,,,,,sold,from auction file
2011,5390,Adam Gilchrist,Kings XI Punjab,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,5766,David Hussey,Kings XI Punjab,63518000.0,6.3518,,,,,,,,,,sold,from auction file
2011,30045,Dinesh Karthik,Kings XI Punjab,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,16932,Dmitri Mascarenhas,Kings XI Punjab,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,7443,Nathan Rimmington,Kings XI Punjab,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,32966,Piyush Chawla,Kings XI Punjab,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,30732,Praveen Kumar,Kings XI Punjab,36296000.0,3.6296,,,,,,,,,,sold,from auction file
2011,5779,Ryan Harris,Kings XI Punjab,14745250.0,1.474525,,,,,,,,,,sold,from auction file
2011,6683,Shaun Marsh,Kings XI Punjab,18148000.0,1.8148,,,,,,,,,,sold,from auction file
2011,10617,Stuart Broad,Kings XI Punjab,18148000.0,1.8148,,,,,,,,,,sold,from auction file
