year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2022,Siddarth Kaul,326017,0.75,7500000,,sold,already had id
2022,Daryl Mitchell,381743,0.75,7500000,,sold,already had id
2022,Rassie van der Dussen,337790,1,10000000,,sold,already had id
2022,Vicky Ostwal,1292520,0.2,2000000,,sold,already had id
2022,Nathan Coulter-Nile,261354,2,20000000,,sold,already had id
2022,Jimmy Neesham,355269,1.5,15000000,,sold,already had id
2022,Umesh Yadav,376116,2,20000000,,sold,already had id
2022,Mohammad Nabi,25913,1,10000000,,sold,already had id
2022,Shubham Garhwal,1287019,0.2,2000000,,sold,already had id
2022,Arjun Tendulkar,1148776,0.2,2000000,,sold,already had id
2022,K Bhagath Varma,1252050,0.2,2000000,,sold,already had id
2022,Hrithik Shokeen,1175423,0.2,2000000,,sold,already had id
2022,Ramesh Kumar,1299848,0.2,2000000,,sold,already had id
2022,Varun Aaron,360911,0.5,5000000,,sold,already had id
2022,Kuldip Yadav,1206495,0.2,2000000,,sold,already had id
2022,Benny Howell,211748,0.4,4000000,,sold,already had id
2022,Rahul Buddhi,1212693,0.2,2000000,,sold,already had id
2022,Tim Southee,232364,1.5,15000000,,sold,already had id
2022,Gurkeerat Singh,537124,0.5,5000000,,sold,already had id
2022,Bhanuka Rajapaksa,342619,0.5,5000000,,sold,already had id
2022,Tejas Baroka,1082859,0.2,2000000,,sold,already had id
2022,Mayank Yadav,1292563,0.2,2000000,,sold,already had id
2022,Dhruv Jurel,1175488,0.2,2000000,,sold,already had id
2022,Atharva Taide,1125958,0.2,2000000,,sold,already had id
2022,Ramandeep Singh,1079470,0.2,2000000,,sold,already had id
2022,Fazalhaq Farooqi,974175,0.5,5000000,,sold,already had id
2022,Nathan Ellis,826915,0.75,7500000,,sold,already had id
2022,Tim Seifert,625964,0.5,5000000,,sold,already had id
2022,Glenn Phillips,823509,1.5,15000000,,sold,already had id
2022,Karun Nair,398439,0.5,5000000,,sold,already had id
2022,Evin Lewis,431901,2,20000000,,sold,already had id
2022,Alex Hales,249866,1.5,15000000,,sold,already had id
2022,Kuldeep Sen,1163695,0.2,2000000,,sold,already had id
2022,Karn Sharma,30288,0.5,5000000,,sold,already had id
2022,Lungi Ngidi,542023,0.5,5000000,,sold,already had id
2022,Chris Jordan,288992,2,20000000,,sold,already had id
2022,Vishnu Vinod,732293,0.2,2000000,,sold,already had id
2022,N Jagadeesan,1048813,0.2,2000000,,sold,already had id
2022,Anmolpreet Singh,851261,0.2,2000000,,sold,already had id
2022,C Hari Nishaanth,1048847,0.2,2000000,,sold,already had id
2022,Matthew Wade,230193,2,20000000,,sold,already had id
2022,Wriddhiman Saha,279810,1,10000000,,sold,already had id
2022,Sam Billings,297628,2,20000000,,sold,already had id
2022,David Miller,321777,1,10000000,,sold,already had id
2022,Anunay Singh,1159816,0.2,2000000,,sold,already had id
2022,Ashok Sharma,1299879,0.2,2000000,,sold,already had id
2022,Ansh Patel,1216149,0.2,2000000,,sold,already had id
2022,Mohammad Arshad Khan,1244751,0.2,2000000,,sold,already had id
2022,Saurabh Dubey,1206492,0.2,2000000,,sold,already had id
2022,Baltej Dhanda,527292,0.2,2000000,,sold,already had id
2022,Karan Sharma,1246518,0.2,2000000,,sold,already had id
2022,Kyle Mayers,348056,0.5,5000000,,sold,already had id
2022,Shashank Singh,377534,0.2,2000000,,sold,already had id
2022,Pratham Singh,1083464,0.2,2000000,,sold,already had id
2022,Writtick Chatterjee,699493,0.2,2000000,,sold,already had id
2022,Pradeep Sangwan,279545,0.2,2000000,,sold,already had id
2022,Abhijeet Tomar,1081183,0.2,2000000,,sold,already had id
2022,R Samarth,474512,0.2,2000000,,sold,already had id
2022,Chamika Karunaratne,623695,0.5,5000000,,sold,already had id
2022,Baba Indrajith,477069,0.2,2000000,,sold,already had id
