player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Thisara Perera,Sri Lanka,Bowling Allrounder,"April 03, 1989, Colombo",37y 72d,Left hand Bat,Right arm Medium fast,INTL CAREER: 2009 - 2021,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,37,31.0,19.18,137.45,698.0,3/20,32.77,8.73,22.5,30.0,8.0,422.0,40.0,,
Chandrasekar Ganapathy,India,,"June 10, 1981",45y 4d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,1,,-,-,6.0,-,,13.0,,1.0,1.0,,,,
Moeen Ali,England,Batting Allrounder,"June 18, 1987, Birmingham",38y 361d,Left hand Bat,Right arm Offbreak,INTL CAREER: 2014 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,73,41.0,22.01,139.76,854.0,4/26,25.09,7.22,20.8,59.0,6.0,1167.0,93.0,6.0,1.0
Rahul Chahar,India,Bowler,"August 04, 1999, Bharaatpur, Rajasthan",26y 314d,Right hand Bat,Legbreak Googly,INTL CAREER: 2019 - 2021,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,80,75.0,8.06,104.03,1694.0,4/27,29.28,7.77,22.5,24.0,8.0,129.0,25.0,,1.0
Robin Uthappa,India,Batter,"November 11, 1985, Coorg, Karnataka",40y 215d,Right hand Bat,Right arm Medium,INTL CAREER: 2006 - 2015,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,205,,27.51,130.35,,-,,,,197.0,17.0,4952.0,88.0,27.0,
Ayush Mhatre,India,Top order Batter,"July 16, 2007",18y 333d,Right hand Bat,Right arm Offbreak,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,13,,33.92,183.75,,-,,,,13.0,,441.0,94.0,3.0,
MS Dhoni,India,Wicketkeeper Batter,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 342d,Right hand Bat,Right arm Medium,INTL CAREER: 2004 - 2019,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,278,,38.30,137.45,,-,,,,242.0,100.0,5439.0,84.0,24.0,
Scott Kuggeleijn,New Zealand,Bowling Allrounder,"January 03, 1992, Hamilton",34y 162d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2017 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,2.0,-,-,48.0,2/37,35.5,8.87,24.0,,,,,,
Lakshmipathy Balaji,India,Bowler,"September 27, 1981, Madras (now Chennai), Tamil Nadu",44y 260d,Right hand Bat,Right arm Medium fast,INTL CAREER: 2002 - 2012,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,73,76.0,4.50,73.46,1513.0,5/24,26.68,8.04,19.9,15.0,7.0,36.0,15.0,,3.0
Ravichandran Ashwin,India,Bowling Allrounder,"September 17, 1986, Madras (now Chennai), Tamil Nadu",39y 270d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2010 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,221,187.0,13.01,118.15,4710.0,4/34,30.22,7.2,25.1,98.0,34.0,833.0,50.0,1.0,1.0
