year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2018,Vishnu Vinod,,0.2,,unsold,Vishnu Vinod (Base price INR 20 lakhs)
2018,Sheldon Jackson,,0.2,,unsold,Sheldon Jackson (Base price INR 20 lakhs)
2018,Rajneesh Gurbani,,0.2,,unsold,Rajneesh Gurbani (Base price INR 20 lakhs)
2019,Hanuma Vihari,452044,0.5,,sold,Hanuma Vihari (Base price INR 50 lakhs) sold to Delhi Capitals for INR 2 crores
2019,Shimron Hetmyer,670025,0.5,,sold,Shimron Hetmyer (Base price INR 50 lakhs) sold to Royal Challengers Bangalore for INR 4.2 crores
2019,Carlos Brathwaite,457249,0.75,,sold,Carlos Brathwaite (Base price INR 75 lakhs) sold to Kolkata Knight Riders for INR 5 crores
2019,Gurkeerat Singh Mann,537124,0.5,,sold,Gurkeerat Singh Mann (Base price INR 50 lakhs) sold to Royal Challengers Bangalore for INR 50 lakhs
2019,Moises Henriques,5961,1,,sold,Moises Henriques (Base price INR 1 crore) sold to Kings XI Punjab for INR 1 crore
2019,Axar Patel,554691,1,,sold,Axar Patel (Base price INR 1 crore) sold to Delhi Capitals for INR 5 crores
2019,Jonny Bairstow,297433,1.5,,sold,Jonny Bairstow (Base price INR 1.5 crores) sold to Sunrisers Hyderabad for INR 2.2 crores
2019,Nicholas Pooran,604302,0.75,,sold,Nicholas Pooran (Base price INR 75 lakhs) sold to Kings XI Punjab for INR 4.2 crores
2019,Wriddhiman Saha,279810,1,,sold,Wriddhiman Saha (Base price INR 1 crore) sold to Sunrisers Hyderabad for INR 1.2 crores
2019,Jaydev Unadkat,390484,1.5,,sold,Jaydev Unadkat (Base price INR 1.5 crore) sold to Rajasthan Royals for INR 8.4 crores
2019,Ishant Sharma,236779,0.75,,sold,Ishant Sharma (Base price INR 75 lakhs) sold to Delhi Capitals for INR 1.1 crores
2019,Lasith Malinga,49758,2,,sold,Lasith Malinga (Base price INR 2 crores) sold to Mumbai Indians for INR 2 crores
2019,Mohammed Shami,481896,1,,sold,Mohammed Shami (Base price INR 1 crore) sold to Kings XI Punjab for INR 4.8 crores
2019,Varun Aaron,360911,0.5,,sold,Varun Aaron (Base price INR 50 lakhs) sold to Rajasthan Royals for INR 2.4 crores
2019,Mohit Sharma,537119,0.5,,sold,Mohit Sharma (Base price INR 50 lakhs) sold to Chennai Super Kings for INR 5 crores
2019,Devdutt Padikkal,1119026,0.2,,sold,Devdutt Padikkal (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 20 lakhs
2019,Anmolpreet Singh,851261,0.2,,sold,Anmolpreet Singh (Base price INR 20 lakhs) sold to Mumbai Indians for INR 80 lakhs
2019,Sarfaraz Khan,642525,0.2,,sold,Sarfaraz Khan (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 25 lakhs
2019,Shivam Dube,714451,0.2,,sold,Shivam Dube (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 5 crores
2019,Varun Chakravarthy,1108375,0.2,,sold,Varun Chakravarthy (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 8.4 crores
2019,Ankush Bains,604534,0.2,,sold,Ankush Bains (Base price INR 20 lakhs) sold to Delhi Capitals for INR 20 lakhs
2019,Nathu Singh,853259,0.2,,sold,Nathu Singh (Base price INR 20 lakhs) sold to Delhi Capitals for INR 20 lakhs
2019,Colin Ingram,45705,2,,sold,Colin Ingram (Base price INR 2 crores) sold to Delhi Capitals for INR 6.40 crores
2019,Sam Curran,662973,2,,sold,Sam Curran (Base price INR 2 crores) sold to Kings XI Punjab for INR 7.2 crores
2019,Heinrich Klaasen,436757,0.5,,sold,Heinrich Klaasen (Base price INR 50 lakhs) sold to Royal Challengers Bangalore for INR 50 lakhs
2019,Barinder Sran,537126,0.5,,sold,Barinder Sran (Base price INR 50 lakhs) sold to Mumbai Indians for INR 3.4 crore
2019,Lockie Ferguson,493773,1,,sold,Lockie Ferguson (Base price 1 crore) sold to Kolkata Knight Riders for INR 1.6 crores
2019,Sherfane Rutherford,914541,0.4,,sold,Sherfane Rutherford (Base price INR 40 lakhs) sold to Delhi Capitals for INR 2 crores
2019,Anrich Nortje,481979,0.2,,sold,Anrich Nortje (Base price INR 20 lakhs) sold to Kolkata Knight Riders for INR 20 lakhs
2019,Oshane Thomas,914567,0.5,,sold,Oshane Thomas (Base price INR 50 lakhs) sold to Rajasthan Royals for 1.1 crores
2019,Hardus Viljoen,375126,0.75,,sold,Hardus Viljoen (Base price INR 75 lakhs) sold to Kings XI Punjab for INR 75 lakhs
2019,Himmat Singh,805235,0.2,,sold,Himmat Singh (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 65 lakhs
2019,Nikhil Naik,554700,0.2,,sold,Nikhil Naik (Base price INR 20 lakhs) sold to Kolkata Knight Riders for INR 20 lakhs
2019,Arshdeep Singh,1125976,0.2,,sold,Arshdeep Singh (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 20 lakhs
2019,Harry Gurney,244639,0.75,,sold,Harry Gurney (Base price INR 75 lakhs) sold to Kolkata Knight Riders for INR 75 lakhs
2019,Pankaj Jaiswal,652359,0.2,,sold,Pankaj Jaiswal (Base price INR 20 lakhs) sold to Mumbai Indians for INR 20 lakhs
2019,Milind Kumar,451947,0.2,,sold,Milind Kumar (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 20 lakhs
2019,Darshan Nalkande,1111917,0.2,,sold,Darshan Nalkande (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 30 lakhs
2019,Shashank Singh,377534,0.2,,sold,Shashank Singh (Base price INR 20 lakhs) sold to Rajasthan Royals for INR 30 lakhs
2019,Simran Singh,1161024,0.2,,sold,Simran Singh (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 4.8 crores
2019,Rasikh Salam,1161489,0.2,,sold,Rasikh Salam (Base price INR 20 lakhs) sold to Mumbai Indians for INR 20 lakhs
2019,Prithvi Raj,1121579,0.2,,sold,Prithvi Raj (Base price INR 20 lakhs) sold to Kolkata Knight Riders for INR 20 lakhs
2019,Liam Livingstone,403902,0.5,,sold,Liam Livingstone (Base price INR 50 lakhs) sold to Rajasthan Royals for INR 50 lakhs
