year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr
2014,279810,WP Saha,Kings XI Punjab,22000000,2.2,,,,
2014,276298,AD Russell,Kolkata Knight Riders,6000000,0.6,,,,
2014,326637,CA Lynn,Kolkata Knight Riders,13000000,1.3,,,,
2014,328163,DB Das,Kolkata Knight Riders,2000000,0.2,,,,
2014,28763,G Gambhir,Kolkata Knight Riders,,,,,,
2014,45789,JH Kallis,Kolkata Knight Riders,55000000,5.5,,,,
2014,559235,Kuldeep Yadav,Kolkata Knight Riders,4000000,0.4,,,,
2014,46538,M Morkel,Kolkata Knight Riders,28000000,2.8,,,,
2014,290630,MK Pandey,Kolkata Knight Riders,17000000,1.7,,,,
2014,27280,MS Bisla,Kolkata Knight Riders,6000000,0.6,,,,
2014,489889,PJ Cummins,Kolkata Knight Riders,10000000,1.0,,,,
2014,32966,PP Chawla,Kolkata Knight Riders,42500000,4.25,,,,
2014,35731,R Vinay Kumar,Kolkata Knight Riders,28000000,2.8,,,,
2014,47660,RN ten Doeschate,Kolkata Knight Riders,10000000,1.0,,,,
2014,35582,RV Uthappa,Kolkata Knight Riders,50000000,5.0,,,,
2014,446507,SA Yadav,Kolkata Knight Riders,7000000,0.7,,,,
2014,230558,SP Narine,Kolkata Knight Riders,,,,,,
2014,433356,SS Mondal,Kolkata Knight Riders,1000000,0.1,,,,
2014,56143,Shakib Al Hasan,Kolkata Knight Riders,28000000,2.8,,,,
2014,376116,UT Yadav,Kolkata Knight Riders,26000000,2.6,,,,
2014,528967,V Pratap Singh,Kolkata Knight Riders,4000000,0.4,,,,
2014,32498,YK Pathan,Kolkata Knight Riders,32500000,3.25,,,,
2014,333904,AP Tare,Mumbai Indians,16000000,1.6,,,,
2014,33141,AT Rayudu,Mumbai Indians,,,,,,
2014,505773,AV Wankhade,Mumbai Indians,1000000,0.1,,,,
2014,388678,BR Dunk,Mumbai Indians,2000000,0.2,,,,
2014,277662,CJ Anderson,Mumbai Indians,45000000,4.5,,,,
2014,302208,CM Gautam,Mumbai Indians,2000000,0.2,,,,
2014,29264,Harbhajan Singh,Mumbai Indians,,,,,,
2014,625383,JJ Bumrah,Mumbai Indians,12000000,1.2,,,,
2014,288284,JR Hazlewood,Mumbai Indians,5000000,0.5,,,,
2014,237199,Jalaj S Saxena,Mumbai Indians,9000000,0.9,,,,
2014,314622,K Santokie,Mumbai Indians,3000000,0.3,,,,
2014,230559,KA Pollard,Mumbai Indians,,,,,,
2014,393279,M de Lange,Mumbai Indians,3000000,0.3,,,,
2014,5939,MEK Hussey,Mumbai Indians,50000000,5.0,,,,
2014,431213,P Suyal,Mumbai Indians,1000000,0.1,,,,
2014,32130,PP Ojha,Mumbai Indians,32500000,3.25,,,,
2014,34102,RG Sharma,Mumbai Indians,,,,,,
2014,344580,S Gopal,Mumbai Indians,1000000,0.1,,,,
2014,31756,SH Marathe,Mumbai Indians,1000000,0.1,,,,
2014,49758,SL Malinga,Mumbai Indians,,,,,,
2014,30102,Z Khan,Mumbai Indians,26000000,2.6,,,,
2014,604534,AK Bains,Rajasthan Royals,1000000,0.1,,,,
2014,32091,AM Nayar,Rajasthan Royals,10000000,1.0,,,,
2014,277916,AM Rahane,Rajasthan Royals,,,,,,
2014,604550,Amit Mishra,Rajasthan Royals,1000000,0.1,,,,
2014,422992,Ankit Sharma,Rajasthan Royals,1000000,0.1,,,,
2014,230371,BCJ Cutting,Rajasthan Royals,8000000,0.8,,,,
2014,5674,BJ Hodge,Rajasthan Royals,24000000,2.4,,,,
2014,36071,DH Yagnik,Rajasthan Royals,3000000,0.3,,,,
2014,497121,DJ Hooda,Rajasthan Royals,4000000,0.4,,,,
2014,277955,DS Kulkarni,Rajasthan Royals,11000000,1.1,,,,
2014,262323,I Abdullah,Rajasthan Royals,6500000,0.65,,,,
2014,270484,JP Faulkner,Rajasthan Royals,,,,,,
2014,371814,KK Cooper,Rajasthan Royals,3000000,0.3,,,,
2014,398439,KK Nair,Rajasthan Royals,7500000,0.75,,,,
2014,272262,KW Richardson,Rajasthan Royals,10000000,1.0,,,,
2014,587152,PV Tambe,Rajasthan Royals,1000000,0.1,,,,
2014,26907,R Bhatia,Rajasthan Royals,17000000,1.7,,,,
2014,423838,R Tewatia,Rajasthan Royals,1000000,0.1,,,,
2014,267192,SPD Smith,Rajasthan Royals,40000000,4.0,,,,
2014,8180,SR Watson,Rajasthan Royals,,,,,,
2014,27223,STR Binny,Rajasthan Royals,,,,,,
2014,425943,SV Samson,Rajasthan Royals,,,,,,
2014,232364,TG Southee,Rajasthan Royals,12000000,1.2,,,,
2014,446499,UBT Chand,Rajasthan Royals,6500000,0.65,,,,
2014,31738,VS Malik,Rajasthan Royals,2000000,0.2,,,,
2014,227712,AB Dinda,Royal Challengers Bangalore,15000000,1.5,,,,
2014,44936,AB de Villiers,Royal Challengers Bangalore,,,,,,
2014,228430,AN Ahmed,Royal Challengers Bangalore,3000000,0.3,,,,
2014,51880,CH Gayle,Royal Challengers Bangalore,,,,,,
2014,390481,HV Patel,Royal Challengers Bangalore,4000000,0.4,,,,
2014,46248,JA Morkel,Royal Challengers Bangalore,24000000,2.4,,,,
2014,49636,M Muralitharan,Royal Challengers Bangalore,10000000,1.0,,,,
2014,311592,MA Starc,Royal Challengers Bangalore,50000000,5.0,,,,
2014,333780,NJ Maddinson,Royal Challengers Bangalore,5000000,0.5,,,,
2014,32242,PA Patel,Royal Challengers Bangalore,14000000,1.4,,,,
2014,52912,R Rampaul,Royal Challengers Bangalore,9000000,0.9,,,,
2014,33757,S Rana,Royal Challengers Bangalore,2000000,0.2,,,,
2014,592735,S Sandeep Warrier,Royal Challengers Bangalore,1000000,0.1,,,,
2014,29655,SB Jakati,Royal Challengers Bangalore,2000000,0.2,,,,
2014,24790,T Mishra,Royal Challengers Bangalore,1000000,0.1,,,,
2014,253802,V Kohli,Royal Challengers Bangalore,,,,,,
2014,554699,VH Zol,Royal Challengers Bangalore,3000000,0.3,,,,
2014,360911,VR Aaron,Royal Challengers Bangalore,20000000,2.0,,,,
2014,430246,YS Chahal,Royal Challengers Bangalore,1000000,0.1,,,,
2014,35357,YV Takawale,Royal Challengers Bangalore,1000000,0.1,,,,
2014,36084,Yuvraj Singh,Royal Challengers Bangalore,140000000,14.0,,,,
2014,389605,A Ashish Reddy,Sunrisers Hyderabad,2000000,0.2,,,,
2014,31107,A Mishra,Sunrisers Hyderabad,47500000,4.75,,,,
2014,324444,AG Paunikar,Sunrisers Hyderabad,2000000,0.2,,,,
2014,5334,AJ Finch,Sunrisers Hyderabad,40000000,4.0,,,,
2014,326016,B Kumar,Sunrisers Hyderabad,42500000,4.25,,,,
2014,55814,BRM Taylor,Sunrisers Hyderabad,3000000,0.3,,,,
2014,604616,CV Milind,Sunrisers Hyderabad,1000000,0.1,,,,
2014,219889,DA Warner,Sunrisers Hyderabad,55000000,5.5,,,,
2014,53115,DJG Sammy,Sunrisers Hyderabad,35000000,3.5,,,,
2014,47492,DW Steyn,Sunrisers Hyderabad,,,,,,
2014,236779,I Sharma,Sunrisers Hyderabad,26000000,2.6,,,,
2014,32685,IK Pathan,Sunrisers Hyderabad,24000000,2.4,,,,
2014,391485,JO Holder,Sunrisers Hyderabad,7500000,0.75,,,,
2014,422108,KL Rahul,Sunrisers Hyderabad,10000000,1.0,,,,
2014,30288,KV Sharma,Sunrisers Hyderabad,37500000,3.75,,,,
2014,5961,MC Henriques,Sunrisers Hyderabad,10000000,1.0,,,,
2014,390480,MC Juneja,Sunrisers Hyderabad,1000000,0.1,,,,
2014,32102,NV Ojha,Sunrisers Hyderabad,5000000,0.5,,,,
2014,279562,P Parameswaran,Sunrisers Hyderabad,3000000,0.3,,,,
2014,378496,Parvez Rasool,Sunrisers Hyderabad,9500000,0.95,,,,
2014,642531,RK Bhui,Sunrisers Hyderabad,1000000,0.1,,,,
2014,26798,S Anirudha,Sunrisers Hyderabad,2000000,0.2,,,,
2014,28235,S Dhawan,Sunrisers Hyderabad,,,,,,
2014,35805,Y Venugopal Rao,Sunrisers Hyderabad,5500000,0.55,,,,
2015,459508,Andrew Tye,Chennai Super Kings,2000000,0.2,,,,
2015,604534,Ankush Bains,Chennai Super Kings,1000000,0.1,,,,
2015,340841,Eklavya Dwivedi,Chennai Super Kings,1000000,0.1,,,,
2015,32685,Irfan Pathan,Chennai Super Kings,15000000,1.5,,,,
2015,297583,Kyle Abbott,Chennai Super Kings,3000000,0.3,,,,
2015,5939,Michael Hussey,Chennai Super Kings,15000000,1.5,,,,
2015,717205,Pratyush Singh,Chennai Super Kings,1000000,0.1,,,,
2015,272994,Rahul Sharma,Chennai Super Kings,3000000,0.3,,,,
2015,46248,Albie Morkel,Delhi Capitals,3000000,0.3,,,,
2015,604550,Amit Mishra,Delhi Capitals,35000000,3.5,,,,
2015,49764,Angelo Mathews,Delhi Capitals,75000000,7.5,,,,
2015,302208,CM Gautam,Delhi Capitals,2000000,0.2,,,,
2015,528985,Domnic Joseph,Delhi Capitals,7500000,0.75,,,,
2015,499660,Gurinder Sandhu,Delhi Capitals,17000000,1.7,,,,
2015,390484,Jaydev Unadkat,Delhi Capitals,11000000,1.1,,,,
2015,857781,KK Jiyaz,Delhi Capitals,1000000,0.1,,,,
2015,325012,Marcus Stoinis,Delhi Capitals,2500000,0.25,,,,
2015,642519,Shreyas Iyer,Delhi Capitals,26000000,2.6,,,,
2015,529436,Srikar Bharat,Delhi Capitals,1000000,0.1,,,,
2015,530011,Travis Head,Delhi Capitals,3000000,0.3,,,,
2015,36084,Yuvraj Singh,Delhi Capitals,160000000,16.0,,,,
2015,30102,Zaheer Khan,Delhi Capitals,40000000,4.0,,,,
2015,725435,Aditya Garhwal,Kolkata Knight Riders,2500000,0.25,,,,
2015,5681,Brad Hogg,Kolkata Knight Riders,5000000,0.5,,,,
2015,355269,James Neesham,Kolkata Knight Riders,5000000,0.5,,,,
2015,777537,KC Cariappa,Kolkata Knight Riders,24000000,2.4,,,,
2015,237696,Sheldon Jackson,Kolkata Knight Riders,1500000,0.15,,,,
2015,32084,Sumit Narwal,Kolkata Knight Riders,1000000,0.1,,,,
2015,590325,Vaibhav Rawal,Kolkata Knight Riders,1000000,0.1,,,,
2015,5334,Aaron Finch,Mumbai Indians,32000000,3.2,,,,
2015,310958,Abhimanyu Mithun,Mumbai Indians,3000000,0.3,,,,
2015,4498,Aiden Blizzard,Mumbai Indians,3000000,0.3,,,,
2015,269520,Akshay Wakhare,Mumbai Indians,1000000,0.1,,,,
2015,625371,Hardik Pandya,Mumbai Indians,1000000,0.1,,,,
2015,527663,J Suchith,Mumbai Indians,1000000,0.1,,,,
2015,319439,Mitchell McClenaghan,Mumbai Indians,3000000,0.3,,,,
2015,604527,Nitish Rana,Mumbai Indians,1000000,0.1,,,,
2015,32130,Pragyan Ojha,Mumbai Indians,5000000,0.5,,,,
2015,422342,Siddhesh Lad,Mumbai Indians,1000000,0.1,,,,
2015,237095,M Vijay,Punjab Kings,30000000,3.0,,,,
2015,554700,Nikhil Naik,Punjab Kings,3000000,0.3,,,,
2015,29048,Yogesh Golwalkar,Punjab Kings,1000000,0.1,,,,
2015,537126,Brainder Sran,Rajasthan Royals,1000000,0.1,,,,
2015,439952,Chris Morris,Rajasthan Royals,14000000,1.4,,,,
2015,278482,Dinesh Salunkhe,Rajasthan Royals,1000000,0.1,,,,
2015,34155,Pardeep Sahu,Rajasthan Royals,1000000,0.1,,,,
2015,223642,Rusty Theron,Rajasthan Royals,3000000,0.3,,,,
2015,856285,Sagar Trivedi,Rajasthan Royals,1000000,0.1,,,,
2015,450860,Adam Milne,Royal Challengers Bangalore,7000000,0.7,,,,
2015,53115,Darren Sammy,Royal Challengers Bangalore,28000000,2.8,,,,
2015,221140,David Wiese,Royal Challengers Bangalore,28000000,2.8,,,,
2015,30045,Dinesh Karthik,Royal Challengers Bangalore,105000000,10.5,,,,
2015,237199,Jalaj Saxena,Royal Challengers Bangalore,1000000,0.1,,,,
2015,26806,S Badrinath,Royal Challengers Bangalore,3000000,0.3,,,,
2015,642525,Sarfaraz Khan,Royal Challengers Bangalore,5000000,0.5,,,,
2015,398666,Sean Abbott,Royal Challengers Bangalore,10000000,1.0,,,,
2015,474794,Shishir Bhavane,Royal Challengers Bangalore,1000000,0.1,,,,
2015,24598,Eoin Morgan,Sunrisers Hyderabad,15000000,1.5,,,,
2015,452044,Hanuma Vihari,Sunrisers Hyderabad,1000000,0.1,,,,
2015,277906,Kane Williamson,Sunrisers Hyderabad,6000000,0.6,,,,
2015,19296,Kevin Pietersen,Sunrisers Hyderabad,20000000,2.0,,,,
2015,34019,Laxmi Shukla,Sunrisers Hyderabad,3000000,0.3,,,,
2015,32211,Padmanabhan Prasanth,Sunrisers Hyderabad,1000000,0.1,,,,
2015,30732,Praveen Kumar,Sunrisers Hyderabad,22000000,2.2,,,,
2015,10582,Ravi Bopara,Sunrisers Hyderabad,10000000,1.0,,,,
2015,326017,Siddarth Kaul,Sunrisers Hyderabad,1000000,0.1,,,,
2015,277912,Trent Boult,Sunrisers Hyderabad,38000000,3.8,,,,
2016,532851,Akhil Herwadkar,Delhi Capitals,1000000,0.1,,,,
2016,457249,Carlos Brathwaite,Delhi Capitals,42000000,4.2,,,,
2016,604616,Chama Milind,Delhi Capitals,1000000,0.1,,,,
2016,439952,Chris Morris,Delhi Capitals,70000000,7.0,,,,
2016,501012,Joel Paris,Delhi Capitals,3000000,0.3,,,,
2016,398439,Karun Nair,Delhi Capitals,40000000,4.0,,,,
2016,942645,Khaleel Ahmed,Delhi Capitals,1000000,0.1,,,,
2016,853265,Mahipal Lomror,Delhi Capitals,1000000,0.1,,,,
2016,530773,Pawan Negi,Delhi Capitals,85000000,8.5,,,,
2016,431213,Pawan Suyal,Delhi Capitals,1000000,0.1,,,,
2016,717205,Pratyush Singh,Delhi Capitals,1000000,0.1,,,,
2016,931581,Rishabh Pant,Delhi Capitals,19000000,1.9,,,,
2016,297628,Sam Billings,Delhi Capitals,3000000,0.3,,,,
2016,425943,Sanju Samson,Delhi Capitals,42000000,4.2,,,,
2016,5334,Aaron Finch,Gujarat Lions,10000000,1.0,,,,
